FID,ponto,id_bem,identificacao_bem,co_iphan,no_logradouro,nu_logradouro,id_natureza,ds_natureza,codigo_iphan,id_classificacao,ds_classificacao,id_tipo_bem,ds_tipo_bem,sg_tipo_bem,sintese_bem,dt_cadastro
tg_bem_classificacao.fid-7766db4e_192a223c909_4d37,POINT (-60.023413 -3.1303329999999896),40,Teatro Amazonas,AM1302603BIED00002,Eduardo Ribeiro,S/N,2,Bem Imóvel,BI,18,Arquitetura civil,8,Edificação,ED,"Possui estilo neoclássico sob influência do ecletismo de fins do séc.XIX. A construção apresentou soluções avançadas para a época, destacando-se a estrutura metálica da cobertura incluindo a cúpula. Devido à dificuldade de importação, as colunatas, alisares, óculos e balaústres foram feitos de cimento, alvenaria e reboco, mas feitos para parecerem mármore e outros materiais nobres. A cúpula é revestida externamente em cerâmica policromada, com telhas em escamas e áreas em vidros coloridos.",2015-01-22
tg_bem_classificacao.fid-7766db4e_192a223c909_4d5a,POINT (-34.90212964300591 -8.059828565878833),1742,Palacete da Benfica,PE2611606BIED00030,Benfica,251,2,Bem Imóvel,BI,18,Arquitetura civil,8,Edificação,ED,"Palacete da Benfica, também conhecido(a) como Casa à Rua Benfica, localizado(a) no estado de Pernambuco, cidade(s) de Recife, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2016-01-21
tg_bem_classificacao.fid-7766db4e_192a223c909_4d8d,POINT (-43.3830778 -18.60543060000001),675,Igreja de Nossa Senhora do Carmo,MG3167103BIED00003,Doutor João Pinheiro,69,2,Bem Imóvel,BI,20,Arquitetura religiosa,8,Edificação,ED,"Apresenta um adro com arrimos de pedra, com acesso por dois lanços de escadaria. Planta com nave, capela-mor (englobando o consistório ao fundo), torres quadrangulares destacadas do corpo da construção e dois anexos laterais com função de sacristias. Possui estrutura autônoma de madeira e paredes de taipa. Os trabalhos de talha se resumem a três altares, dois púlpitos e ornatos em relevo do arco-cruzeiro. O piso é em campas e os forros do tipo abóbada em tabuado.",2015-05-05
tg_bem_classificacao.fid-7766db4e_192a223c909_4d8e,POINT (-44.260208 -21.138801),1136,Igreja de São Francisco de Assis,MG3162500BIED00006,Ministro Gabriel Passos,,2,Bem Imóvel,BI,20,Arquitetura religiosa,8,Edificação,ED,"Igreja de São Francisco de Assis, localizado(a) no estado de Minas Gerais, cidade(s) de São João Del Rei, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-12
tg_bem_classificacao.fid-7766db4e_192a223c909_4d9f,POINT (-34.8792139 -8.058055600000001),1077,Prédio do Ginásio Pernambucano na Rua da Aurora,PE2611606BIED00020,Aurora,,2,Bem Imóvel,BI,18,Arquitetura civil,8,Edificação,ED,"Prédio do Ginásio Pernambucano na Rua da Aurora, também conhecido(a) como Prédio do Ginásio Pernambucano na Rua da Aurora, localizado(a) no estado de Pernambuco, cidade(s) de Recife, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-12
tg_bem_classificacao.fid-7766db4e_192a223c909_4da1,POINT (-43.4202194 -20.373322200000008),601,Igreja de Nossa Senhora do Rosário,MG3140001BIED00010,Rosário,,2,Bem Imóvel,BI,20,Arquitetura religiosa,8,Edificação,ED,"A estrutura é independente de madeira, com vedação em adobe e pau-a-pique. A fachada principal é composta por porta única central, de grandes dimensões, com folhas almofadadas e duas janelas rasgadas, com vergas curvas e guarda-corpo em balaústres. Possui duas torres sineiras de base retangular e telhado piramidal, encimado por coruchéu. No interior, dois corredores ladeiam a nave e se abrem para ela através de arcos. O forro do teto é totalmente pintado, se estendendo da nave à capela-mor.",2015-02-23
tg_bem_classificacao.fid-7766db4e_192a223c909_4db1,POINT (-35.325604119294205 -7.669805585437982),1728,Engenho Poço Comprido: casa grande e capela,PE2616308BICA00001,Engenho Poço Comprido,,2,Bem Imóvel,BI,72,Arquitetura de produção,6,Conjunto Arquitetônico,CA,"Engenho Poço Comprido: casa grande e capela , também conhecido(a) como Engenho Poço Comprido, localizado(a) no estado de Pernambuco, cidade(s) de Vicência, é um Bem Imóvel, do tipo Conjunto Arquitetônico, com estado de conservação Regular e de preservação Pouco Alterado.",2016-01-15
tg_bem_classificacao.fid-7766db4e_192a223c909_4db6,POINT (-48.80770325563613 -15.92454660348398),475,Igreja Matriz de Nossa Senhora da Penha de França: conjunto arquitetônico,GO5205802BICA00001,da Matriz,,2,Bem Imóvel,BI,20,Arquitetura religiosa,6,Conjunto Arquitetônico,CA,"Igreja Matriz de Nossa Senhora da Penha de França: conjunto arquitetônico, localizado(a) no estado de Goiás, cidade(s) de Corumbá de Goiás, é um Bem Imóvel, do tipo Conjunto Arquitetônico, com estado de conservação Regular e de preservação Pouco Alterado.",2015-02-21
tg_bem_classificacao.fid-7766db4e_192a223c909_4dbf,POINT (-43.214921 -22.919223000000006),376,Marco da Fundação da Cidade do Rio de Janeiro,RJ3304557BMAR00004,Haddock Lobo,266,1,Bem Móvel ou Integrado,BM,9999,Sem classificação,2,Artefato,AR,"Marco da Fundação da Cidade do Rio de Janeiro, localizado(a) no estado de Rio de Janeiro, cidade(s) de Rio de Janeiro, é um Bem Móvel ou Integrado, do tipo Artefato, com estado de conservação Regular e de preservação Pouco Alterado.",2015-01-30
tg_bem_classificacao.fid-7766db4e_192a223c909_4dc1,POINT (-42.479975 -20.298586099999987),834,"Imagem de São Francisco de Paula, de autoria de Antônio Francisco Lisboa, o Aleijadinho",MG3100302BMAR00001,Santo Antônio,228,1,Bem Móvel ou Integrado,BM,9999,Sem classificação,2,Artefato,AR,"Imagem de São Francisco de Paula, de autoria de Antônio Francisco Lisboa, o Aleijadinho, também conhecido(a) como Imagem de São Francisco de Paula / Aleijadinho, localizado(a) no estado de Minas Gerais, cidade(s) de Abre Campo, é um Bem Móvel ou Integrado, do tipo Artefato, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-11
