FID,ponto,id_bem,identificacao_bem,co_iphan,no_logradouro,nu_logradouro,id_natureza,ds_natureza,codigo_iphan,id_classificacao,ds_classificacao,id_tipo_bem,ds_tipo_bem,sg_tipo_bem,sintese_bem,dt_cadastro
tg_bem_classificacao.fid-7766db4e_192a223c909_4da9,POINT (-50.523919257450046 -23.145357506268617),1378,Armazém,PR4123907BIED00001,Liberatos Spagolla,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Armazém, localizado(a) no estado de Paraná, cidade(s) de Santa Mariana, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
tg_bem_classificacao.fid-7766db4e_192a223c909_4daa,POINT (-45.44070602407385 -20.599914067759894),1563,Terreno,MG3126109BIED00006,Timboré,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Terreno, localizado(a) no estado de Minas Gerais, cidade(s) de Formiga, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-23
tg_bem_classificacao.fid-7766db4e_192a223c909_4db8,POINT (-48.916470276005185 -23.097591505205237),1716,Antiga Estação Ferroviária de Avaré,SP3504503BIED00001,Engenheiro Müler,48 - 88,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Antiga Estação Ferroviária de Avaré, localizado(a) no estado de São Paulo, cidade(s) de Avaré, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-11-10
tg_bem_classificacao.fid-7766db4e_192a223c909_4ddd,POINT (-42.945314911505506 -22.853489917188394),1633,Prédio da Estação Ferroviária de Ipiíba,RJ3304904BIED00001,Sta. Izabel,76,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Prédio da Estação Ferroviária de Ipiíba, localizado(a) no estado de Rio de Janeiro, cidade(s) de São Gonçalo, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-24
tg_bem_classificacao.fid-7766db4e_192a223c909_4ddf,POINT (-50.006363958770926 -23.31835211586865),1656,Estação Ferroviária de Platina,PR4124103BIED00006,Topazio,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária de Platina, localizado(a) no estado de Paraná, cidade(s) de Santo Antônio da Platina, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado. Possui construção em alvenaria com cobertura em duas águas com telhas francesas. Na fachada principal, um volume centralizado com vão em arco pleno forma uma pequena varanda.Algumas aberturas encontram-se fechadas.",2015-06-24
tg_bem_classificacao.fid-7766db4e_192a223c909_4e3b,POINT (-43.29173849584064 -22.895121815931976),1641,Terreno - Museu do Trem,RJ3304557BIED00105,Arquias Cordeiro,1416,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Terreno - Museu do Trem, localizado(a) no estado de Rio de Janeiro, cidade(s) de Rio de Janeiro, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-24
tg_bem_classificacao.fid-7766db4e_192a223c909_4e80,POINT (-36.032827041706426 -9.15895603784141),1262,Armazém/Depósito,AL2709301BIED00001,da Estação,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Armazém/Depósito, localizado(a) no estado de Alagoas, cidade(s) de União dos Palmares, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-13
tg_bem_classificacao.fid-7766db4e_192a223c909_4e9b,POINT (-38.74461217724319 -4.313352196453165),2623,Estação Ferroviária de Antônio Diogo,CE2311603BIED00002,João Vicente,354-A,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária de Antônio Diogo, localizado(a) no estado de Ceará, cidade(s) de Redenção, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-05-23
tg_bem_classificacao.fid-7766db4e_192a223c909_4eaa,POINT (-49.21408660273126 -25.448104166337544),1654,Terreno,PR4106902BIED00005,Ermínio Bertolini,44,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Terreno, localizado(a) no estado de Paraná, cidade(s) de Curitiba, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-24
tg_bem_classificacao.fid-7766db4e_192a223c909_4f14,POINT (-51.15136648837417 -26.472909083500674),2504,Casa 6,SC4210704BIED00008,Cristóvão Carneiro,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Residência 6, localizado(a) no estado de Santa Catarina, cidade(s) de Matos Costa, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2017-04-20
tg_bem_classificacao.fid-7766db4e_192a223c909_4f43,POINT (-49.21588368277001 -25.44824948428855),1655,Prédio da Escola Municipal Durival de Brito,PR4106902BIED00006,Emílio Betolini,44,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Prédio da Escola Municipal Durival de Brito, localizado(a) no estado de Paraná, cidade(s) de Curitiba, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-24
tg_bem_classificacao.fid-7766db4e_192a223c909_4ffc,POINT (-50.83723587840393 -26.03779324321102),1653,Estação Ferroviária de Paulo Frontin,PR4118709BIED00001,da Estação,,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Estação Ferroviária de Paulo Frontin, localizado(a) no estado de Paraná, cidade(s) de Paulo Frontin, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-24
tg_bem_classificacao.fid-7766db4e_192a223c909_5066,POINT (-47.4802031620703 -19.955813855511593),1407,Armazém,MG3156908BIED00001,Sem Nome,S/N,2,Bem Imóvel,BI,24,Arquitetura de transportes,8,Edificação,ED,"Armazém, localizado(a) no estado de Minas Gerais, cidade(s) de Sacramento, é um Bem Imóvel, do tipo Edificação, com estado de conservação Regular e de preservação Pouco Alterado.",2015-06-22
